0
0
0
0
0
0
0
0
0
0
0
0
0
19910102|45.673758865248
19910103|38.04347826087
19910104|-15.613382899629
19910107|-67.307692307693
19910108|-170.33333333333
19910109|-194.27753934192
19910110|-170.73170731708
19910111|-158.12672176308
19910114|-137.52012882448
19910115|-122.75362318841
19910116|-114.97584541063
19910117|-109.85915492958
19910118|-107.33333333333
19910121|-60.085836909872
19910122|-38.511326860842
19910123|5.6224899598381
19910124|62.44131455399
19910125|103.7037037037
19910128|167.16417910448
19910129|159.09090909091
19910130|156.38963360143
19910131|133.9312406577
19910201|131.48148148148
19910204|100
19910205|75.438596491229
19910206|43.20987654321
19910207|35.720164609055
19910208|-8.4848484848482
19910211|-66.193853427894
19910212|-122.80701754386
19910213|-141.36253041362
19910214|-163.18082788671
19910219|-142.52252252252
19910220|-136.63663663664
19910221|-123.80952380952
19910222|-162.86919831224
19910225|-163.64653243848
19910226|-152.17391304348
19910227|-132.85163776493
19910228|-124.86486486486
19910301|-109.80392156863
19910304|-107.60233918129
19910305|-102.30769230769
19910306|-105.61403508772
19910307|-104.21348314607
19910308|-112.44979919679
19910311|-111.36363636364
19910312|-120.32520325203
19910313|-99.543378995433
19910314|-76.616915422885
19910315|-40.579710144926
19910318|-32.956685499057
19910319|-24.221453287197
19910320|-63.90041493776
19910321|-57.142857142857
19910322|-114.01515151515
19910325|-140
19910326|-187.2255489022
19910327|-173.19587628866
19910328|-178.43137254902
19910329|-157.74647887324
19910401|-151.60075329567
19910402|-120.68965517241
19910403|-113.22751322751
19910404|-122.05128205128
19910405|-117.17171717172
19910408|-128.20512820513
19910409|-100.5291005291
19910410|-103.7037037037
19910411|-133.33333333333
19910412|-165.02732240437
19910415|-164.58333333333
19910416|-149.29378531073
19910417|-149.71857410882
19910418|-138.27160493827
19910419|-137.17171717172
19910422|-123.23232323232
19910423|-129.41176470588
19910424|-126.34920634921
19910425|-121.7125382263
19910426|-119.51951951952
19910429|-97.819314641744
19910430|-54.654654654654
19910502|-5.0724637681158
19910503|-6.9651741293534
19910506|-10.526315789474
19910507|87.581699346405
19910508|112.92517006803
19910509|169.81132075472
19910510|176.3197586727
19910513|163.96396396396
19910514|150.69444444444
19910515|143.68421052632
19910516|141.53005464481
19910517|131.25
19910520|128.82205513784
19910521|126.13908872902
19910522|133.33333333333
19910523|134.19913419913
19910524|130.76923076923
19910527|128.27004219409
19910528|115.61181434599
19910529|104.88322717622
19910530|115.61181434599
19910531|112.55411255411
19910603|131.38731952291
19910604|127.97157622739
19910605|140.63926940639
19910606|129.82791586998
19910607|135.93073593074
19910610|134.16666666667
19910611|136.50793650794
19910612|122.02729044834
19910613|81.746031746032
19910614|62.052216150577
19910617|65.668662674651
19910618|70.155902004454
19910619|25.613565372602
19910620|25.658648339061
19910621|-11.483967188665
19910624|-95.340501792114
19910625|-138.95131086142
19910626|-124.71264367816
19910627|-80.769230769232
19910628|26.923076923075
19910701|86.174242424241
19910702|141.85606060606
19910703|124.60732984293
19910704|139.58333333333
19910705|163.84803921569
19910708|132.91139240506
19910709|109.33333333333
19910710|120.72072072072
19910711|103.7037037037
19910712|124.29378531073
19910715|135.59322033898
19910716|154.41176470588
19910717|158.5326953748
19910718|158.59572927977
19910719|147.01348747592
19910722|142.99768518519
19910723|135.64143853999
19910724|134.39153439153
19910725|128.05280528053
19910726|130.51643192488
19910729|123.19508448541
19910730|123.72372372372
19910731|122.17194570136
19910801|123.72372372372
19910802|122.17194570136
19910805|123.72372372372
19910806|130.01508295626
19910807|133.03703703704
19910808|128.92804698972
19910809|127.84992784993
19910812|130.21276595745
19910813|124.44444444444
19910814|122.95081967213
19910815|125.2688172043
19910816|128.24631860776
19910819|129.38076416337
19910820|124.18300653595
19910821|123.66013071895
19910822|113.57048748353
19910823|80
19910826|63.622526636225
19910827|63.605930176948
19910828|89.138576779026
19910829|83.47235094223
19910830|54.337899543379
19910902|31.818181818181
19910903|-17.796610169492
19910904|-88.421052631579
19910905|-150.82872928177
19910906|-178.5
19910909|-168.51851851852
19910910|-134.74178403756
19910911|-142.02898550725
19910912|-108.45070422535
19910913|-30.065359477124
19910916|19.047619047619
19910917|66.666666666667
19910918|104.98084291188
19910919|161.70212765958
19910920|181.65137614679
19910923|168.98245614035
19910924|159.85482970408
19910925|148.42501175364
19910926|138.56850715746
19910927|133.33333333333
19910930|128.92156862745
19911003|127.14285714286
19911004|120.37691401649
19911007|118.12865497076
19911008|119.34731934732
19911009|120.93567251462
19911010|123.13167259786
19911011|114.35523114355
19911014|119.10112359551
19911015|125.25252525253
19911016|126.76767676768
19911017|128.28282828283
19911018|129.79797979798
19911021|131.31313131313
19911022|128.92156862745
19911023|131.91489361702
19911024|132.17993079585
19911025|124.45961319681
19911028|110.50228310502
19911029|101.97444831591
19911030|109.06949352179
19911031|110.94890510949
19911101|114.37908496732
19911104|122.12086659065
19911105|138.04391217565
19911106|142.4386381631
19911107|139.78494623656
19911108|136.52206154987
19911111|132.33830845771
19911112|133.26606121763
19911113|130.22222222222
19911114|130.7855626327
19911115|125
19911118|115.98746081505
19911119|113.20754716981
19911120|108.70488322718
19911121|114.16122004357
19911122|115.02824858757
19911125|105.73659198914
19911126|113.89488840893
19911127|117.98941798942
19911128|114.79944674965
19911129|111.68831168831
19911202|104.1831792162
19911203|120.54478301016
19911204|135.25641025641
19911205|129.79066022544
19911206|123.05140961857
19911209|120.13536379019
19911210|129.37293729373
19911211|128.54864433812
19911212|120.8722741433
19911213|118.91025641026
19911216|131.7230273752
19911217|131.054512958
19911218|122.0700152207
